epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
57,50.1436,0.91216,0.53168,0.01045,0.55796,0.4816,0.65822,0.41825,1.90497,1.48893,0.01671,5.30264e-05,5.30264e-05,5.30264e-05
58,51.1121,0.71209,0.87684,0.00683,0.56621,0.4,0.63946,0.39264,1.91541,1.47087,0.01736,5.18483e-05,5.18483e-05,5.18483e-05
59,51.9934,0.66469,0.52185,0.00867,0.56621,0.4,0.63946,0.39264,1.91541,1.47087,0.01736,5.06702e-05,5.06702e-05,5.06702e-05
60,53.0212,0.53788,0.66792,0.00496,0.56621,0.4,0.63946,0.39264,1.91541,1.47087,0.01736,4.94921e-05,4.94921e-05,4.94921e-05
61,53.9645,0.9055,0.67422,0.01562,0.55522,0.47399,0.65644,0.42098,1.93369,1.43045,0.01762,4.8314e-05,4.8314e-05,4.8314e-05
62,54.8664,0.84074,1.00541,0.01084,0.55522,0.47399,0.65644,0.42098,1.93369,1.43045,0.01762,4.71359e-05,4.71359e-05,4.71359e-05
63,55.7234,1.03043,0.74857,0.01494,0.55522,0.47399,0.65644,0.42098,1.93369,1.43045,0.01762,4.59578e-05,4.59578e-05,4.59578e-05
64,56.5811,0.77596,0.96684,0.00909,0.83358,0.39861,0.69769,0.45412,1.93444,1.42764,0.01765,4.47797e-05,4.47797e-05,4.47797e-05
65,57.5141,0.74265,0.58416,0.01205,0.83358,0.39861,0.69769,0.45412,1.93444,1.42764,0.01765,4.36016e-05,4.36016e-05,4.36016e-05
66,58.4359,1.07443,1.2384,0.0114,0.83358,0.39861,0.69769,0.45412,1.93444,1.42764,0.01765,4.24235e-05,4.24235e-05,4.24235e-05
67,59.3187,1.02488,0.90071,0.01768,0.83647,0.39817,0.69769,0.45428,1.95518,1.42041,0.01815,4.12454e-05,4.12454e-05,4.12454e-05
68,60.2922,1.03786,1.21934,0.02156,0.83647,0.39817,0.69769,0.45428,1.95518,1.42041,0.01815,4.00673e-05,4.00673e-05,4.00673e-05
69,61.1338,0.5493,0.3984,0.00713,0.83647,0.39817,0.69769,0.45428,1.95518,1.42041,0.01815,3.88892e-05,3.88892e-05,3.88892e-05
70,62.0145,1.26231,0.8658,0.01571,0.83199,0.4,0.69771,0.45299,1.94875,1.4402,0.01795,3.77111e-05,3.77111e-05,3.77111e-05
71,62.8979,0.91609,0.60756,0.01172,0.83199,0.4,0.69771,0.45299,1.94875,1.4402,0.01795,3.6533e-05,3.6533e-05,3.6533e-05
72,63.8038,0.79148,0.99408,0.00833,0.83199,0.4,0.69771,0.45299,1.94875,1.4402,0.01795,3.53549e-05,3.53549e-05,3.53549e-05
73,64.6472,0.73544,0.68341,0.00718,0.83795,0.39754,0.69583,0.45497,1.95008,1.42972,0.01808,3.41768e-05,3.41768e-05,3.41768e-05
74,65.5226,0.94072,0.81963,0.01207,0.83795,0.39754,0.69583,0.45497,1.95008,1.42972,0.01808,3.29987e-05,3.29987e-05,3.29987e-05
75,66.4839,0.98998,0.89406,0.01822,0.83795,0.39754,0.69583,0.45497,1.95008,1.42972,0.01808,3.18206e-05,3.18206e-05,3.18206e-05
76,67.3759,0.73942,0.68426,0.01034,0.85027,0.39086,0.69769,0.45403,1.95648,1.43652,0.01823,3.06425e-05,3.06425e-05,3.06425e-05
77,68.3091,0.84866,0.82493,0.01358,0.85027,0.39086,0.69769,0.45403,1.95648,1.43652,0.01823,2.94644e-05,2.94644e-05,2.94644e-05
78,69.2371,0.71216,0.54249,0.01098,0.85027,0.39086,0.69769,0.45403,1.95648,1.43652,0.01823,2.82863e-05,2.82863e-05,2.82863e-05
79,70.138,0.7294,0.52617,0.01039,0.7468,0.49354,0.70132,0.4424,1.9634,1.42708,0.01857,2.71082e-05,2.71082e-05,2.71082e-05
80,71.1347,1.0738,0.69429,0.01566,0.7468,0.49354,0.70132,0.4424,1.9634,1.42708,0.01857,2.59301e-05,2.59301e-05,2.59301e-05
81,72.0883,0.59314,0.40425,0.01036,0.7468,0.49354,0.70132,0.4424,1.9634,1.42708,0.01857,2.4752e-05,2.4752e-05,2.4752e-05
82,73.0338,0.72955,0.75133,0.00915,0.70942,0.52375,0.70137,0.44097,1.97723,1.41813,0.01872,2.35739e-05,2.35739e-05,2.35739e-05
83,73.9099,0.71313,0.65163,0.00733,0.70942,0.52375,0.70137,0.44097,1.97723,1.41813,0.01872,2.23958e-05,2.23958e-05,2.23958e-05
84,74.7819,0.74339,0.61285,0.00741,0.70942,0.52375,0.70137,0.44097,1.97723,1.41813,0.01872,2.12177e-05,2.12177e-05,2.12177e-05
85,75.661,0.66289,0.38581,0.0079,0.74847,0.48957,0.70134,0.43993,1.98949,1.45078,0.01893,2.00396e-05,2.00396e-05,2.00396e-05
86,76.5492,0.92136,1.25872,0.01324,0.74847,0.48957,0.70134,0.43993,1.98949,1.45078,0.01893,1.88615e-05,1.88615e-05,1.88615e-05
87,77.5048,0.75744,0.795,0.0131,0.74847,0.48957,0.70134,0.43993,1.98949,1.45078,0.01893,1.76834e-05,1.76834e-05,1.76834e-05
88,78.4468,0.80379,0.98333,0.01151,0.75356,0.48708,0.70074,0.43969,1.9836,1.43186,0.01896,1.65053e-05,1.65053e-05,1.65053e-05
